price_date,ticker,last_price
03/05/2019,VIX Index,12.87
02/05/2019,VIX Index,14.42
01/05/2019,VIX Index,14.8
30/04/2019,VIX Index,13.12
29/04/2019,VIX Index,13.11
26/04/2019,VIX Index,12.73
25/04/2019,VIX Index,13.25
24/04/2019,VIX Index,13.14
23/04/2019,VIX Index,12.28
22/04/2019,VIX Index,12.42
18/04/2019,VIX Index,12.09
17/04/2019,VIX Index,12.6
16/04/2019,VIX Index,12.18
15/04/2019,VIX Index,12.32
12/04/2019,VIX Index,12.01
11/04/2019,VIX Index,13.02
10/04/2019,VIX Index,13.3
09/04/2019,VIX Index,14.28
08/04/2019,VIX Index,13.18
05/04/2019,VIX Index,12.82
04/04/2019,VIX Index,13.58
03/04/2019,VIX Index,13.74
02/04/2019,VIX Index,13.36
01/04/2019,VIX Index,13.4
29/03/2019,VIX Index,13.71
28/03/2019,VIX Index,14.43
27/03/2019,VIX Index,15.15
26/03/2019,VIX Index,14.68
25/03/2019,VIX Index,16.33
22/03/2019,VIX Index,16.48
21/03/2019,VIX Index,13.63
20/03/2019,VIX Index,13.91
19/03/2019,VIX Index,13.56
18/03/2019,VIX Index,13.1
15/03/2019,VIX Index,12.88
14/03/2019,VIX Index,13.5
13/03/2019,VIX Index,13.41
12/03/2019,VIX Index,13.77
11/03/2019,VIX Index,14.33
08/03/2019,VIX Index,16.05
07/03/2019,VIX Index,16.59
06/03/2019,VIX Index,15.74
05/03/2019,VIX Index,14.74
04/03/2019,VIX Index,14.63
01/03/2019,VIX Index,13.57
28/02/2019,VIX Index,14.78
27/02/2019,VIX Index,14.7
26/02/2019,VIX Index,15.17
25/02/2019,VIX Index,14.85
22/02/2019,VIX Index,13.51
21/02/2019,VIX Index,14.46
20/02/2019,VIX Index,14.02
19/02/2019,VIX Index,14.88
18/02/2019,VIX Index,14.895
15/02/2019,VIX Index,14.91
14/02/2019,VIX Index,16.22
13/02/2019,VIX Index,15.65
12/02/2019,VIX Index,15.43
11/02/2019,VIX Index,15.97
08/02/2019,VIX Index,15.72
07/02/2019,VIX Index,16.37
06/02/2019,VIX Index,15.38
05/02/2019,VIX Index,15.57
04/02/2019,VIX Index,15.73
01/02/2019,VIX Index,16.14
31/01/2019,VIX Index,16.57
30/01/2019,VIX Index,17.66
